framerate = 10f
Time (us), Accel_X (mG), Accel_Y (mG), Accel_Z (mG), Gyro_X (mRad/s), Gyro_Y (mRad/s), Gyro_Z (mRad/s), Mag_X (mGauss), Mag_Y (mGauss), Mag_Z (mGauss)
6504842436, 0, -16, -1001, -2, 3, 9, 206, 230, 191
6504842436, 0, -16, -1001, -2, 3, 9, 206, 230, 191
6504942439, -3, -31, -997, -3, 1, 13, 207, 236, 197
6504942439, -3, -31, -997, -3, 1, 13, 207, 236, 197
6505042473, 2, -43, -1009, -2, 0, 6, 207, 235, 196
6505042473, 2, -43, -1009, -2, 0, 6, 207, 235, 196
6505142454, 0, -29, -999, -2, 0, 3, 207, 237, 199
6505142454, 0, -29, -999, -2, 0, 3, 207, 237, 199
6505242453, 5, -34, -992, -4, -1, 1, 208, 238, 200
6505242453, 5, -34, -992, -4, -1, 1, 208, 238, 200
6505342445, -5, -31, -1000, -5, -2, -5, 208, 239, 201
6505342445, -5, -31, -1000, -5, -2, -5, 208, 239, 201
6505442515, 1, -40, -1001, -6, 0, -17, 208, 238, 198
6505442515, 1, -40, -1001, -6, 0, -17, 208, 238, 198
6505542406, 2, -32, -1004, -6, 0, -12, 208, 241, 201
6505542406, 2, -32, -1004, -6, 0, -12, 208, 241, 201
6505642411, -2, -33, -1015, -2, -1, -6, 208, 240, 201
6505642411, -2, -33, -1015, -2, -1, -6, 208, 240, 201
6505742442, -1, -15, -1005, 0, -1, 2, 208, 241, 202
6505742442, -1, -15, -1005, 0, -1, 2, 208, 241, 202
6505842477, -6, -26, -994, -3, 2, -3, 209, 232, 191
6505842477, -6, -26, -994, -3, 2, -3, 209, 232, 191
6505942569, 6, -18, -997, -3, 0, -6, 209, 230, 189
6505942569, 6, -18, -997, -3, 0, -6, 209, 230, 189
6506042512, -2, -28, -1000, -2, 0, 0, 209, 231, 189
6506042512, -2, -28, -1000, -2, 0, 0, 209, 231, 189
6506142444, 0, -30, -1007, -2, 0, -4, 209, 243, 203
6506142444, 0, -30, -1007, -2, 0, -4, 209, 243, 203
6506242395, -4, -27, -994, -4, 2, -9, 210, 245, 204
6506242395, -4, -27, -994, -4, 2, -9, 210, 245, 204
